Date,open,high,low,close,Volume,Volume MA,Volume,Volume MA
1696806000,1.05584,1.05684,1.05582,1.05662,2577,5067.3,2577,5067.3
1696809600,1.05662,1.05744,1.05622,1.05736,3364,5150.7,3364,5150.7
1696813200,1.05736,1.05742,1.0557,1.05634,3448,5238.85,3448,5238.85
1696816800,1.05634,1.05657,1.05588,1.05616,2466,5204.6,2466,5204.6
1696820400,1.05616,1.05616,1.05516,1.05522,1882,5049.85,1882,5049.85
1696824000,1.05522,1.05546,1.05479,1.05502,1521,4892.45,1521,4892.45
1696827600,1.05502,1.0557,1.055,1.0554,1989,4792.25,1989,4792.25
1696831200,1.0554,1.05586,1.05316,1.05372,5377,4864.1,5377,4864.1
1696834800,1.05372,1.05398,1.05195,1.05231,6446,5008.7,6446,5008.7
1696838400,1.05231,1.05418,1.05204,1.05416,4646,4497.15,4646,4497.15
1696842000,1.05416,1.05452,1.05308,1.05336,3942,3977.9,3942,3977.9
1696845600,1.05336,1.0534,1.05235,1.05282,2939,3584.2,2939,3584.2
1696849200,1.05282,1.05404,1.05268,1.05283,3204,3216.55,3204,3216.55
1696852800,1.05283,1.05362,1.05226,1.05332,5329,3176.7,5329,3176.7
1696856400,1.05332,1.05549,1.05326,1.05531,7827,3385.2,7827,3385.2
1696860000,1.05531,1.05579,1.05374,1.05454,6823,3588.35,6823,3588.35
1696863600,1.05454,1.05529,1.05394,1.05398,4183,3652.9,4183,3652.9
1696867200,1.05398,1.05441,1.05346,1.05356,3274,3731.35,3274,3731.35
1696870800,1.05356,1.0565,1.05352,1.05634,3738,3894.15,3738,3894.15
1696874400,1.05634,1.05675,1.05601,1.05644,3483,3922.9,3483,3922.9
1696878000,1.05644,1.05705,1.05642,1.05693,3565,3972.3,3565,3972.3
1696881600,1.05693,1.05724,1.05652,1.05668,1707,3889.45,1707,3889.45
1696885200,1.05668,1.05682,1.05599,1.05658,716,3752.85,716,3752.85
1696888800,1.05658,1.05718,1.05656,1.05688,704,3664.75,704,3664.75
1696892400,1.05688,1.05799,1.0568,1.05788,1168,3629.05,1168,3629.05
1696896000,1.05788,1.05838,1.05708,1.05728,4693,3787.65,4693,3787.65
1696899600,1.05728,1.05809,1.05706,1.05731,4518,3914.1,4518,3914.1
1696903200,1.05731,1.0577,1.05666,1.05672,2663,3778.4,2663,3778.4
1696906800,1.05672,1.05704,1.05661,1.05696,2174,3564.8,2174,3564.8
1696910400,1.05696,1.05696,1.05607,1.05614,2090,3437,2090,3437
1696914000,1.05614,1.0567,1.05588,1.05615,2463,3363.05,2463,3363.05
1696917600,1.05615,1.05693,1.05546,1.05615,5671,3499.65,5671,3499.65
