time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1578873600,1.11163,1.11188,1.11161,1.11188,NaN,NaN,58.41163320626952,53.99387370566358,NaN,NaN,50,NaN,NaN,NaN,NaN
1578877200,1.11188,1.11216,1.11173,1.11215,NaN,NaN,61.00918672310769,56.05537572315306,NaN,NaN,50,NaN,NaN,NaN,NaN
1578880800,1.11215,1.11259,1.11202,1.11259,NaN,NaN,64.86092331824446,57.781597260094216,NaN,NaN,50,NaN,NaN,NaN,NaN
1578884400,1.11259,1.11299,1.11253,1.11294,NaN,NaN,67.60253165109464,59.824832629921126,NaN,NaN,50,NaN,NaN,67.60253165109464,NaN
1578888000,1.11294,1.11307,1.11274,1.11274,NaN,NaN,64.50541288447934,61.2305040984042,NaN,NaN,50,NaN,NaN,NaN,NaN
1578891600,1.11274,1.1132,1.11272,1.11299,NaN,NaN,66.56728283924329,61.85384219975985,NaN,NaN,50,NaN,NaN,NaN,NaN
1578895200,1.11299,1.11301,1.11251,1.11288,NaN,NaN,64.78406381564363,62.04088349436537,NaN,NaN,50,NaN,NaN,NaN,NaN
1578898800,1.11288,1.11303,1.11221,1.11229,NaN,NaN,56.10298261270796,61.38932987887249,NaN,NaN,50,NaN,NaN,NaN,NaN
1578902400,1.11229,1.11297,1.11201,1.11281,NaN,NaN,61.05612496544402,61.424472114253106,NaN,NaN,50,NaN,NaN,NaN,NaN
1578906000,1.11281,1.11361,1.11148,1.11152,NaN,NaN,46.91388390377238,60.26800479961902,NaN,NaN,50,46.91388390377238,NaN,NaN,NaN
1578909600,1.11152,1.11196,1.11128,1.1117,NaN,NaN,48.69946019714803,59.32035606124997,NaN,NaN,50,NaN,NaN,NaN,NaN
1578913200,1.1117,1.11242,1.11165,1.11205,NaN,NaN,52.07497509166849,58.9654709833086,NaN,NaN,50,NaN,NaN,NaN,NaN
